ID,Family_Income,Gender,Interaction_1,Interaction_2,Interaction_3,Interaction_4,Interaction_5,Interaction_6,Interaction_7,Interaction_8,Interaction_9,School_Readiness_1,School_Readiness_2,School_Readiness_3,School_Readiness_4,School_Readiness_5,School_Readiness_6,School_Readiness_7,School_Readiness_8,School_Readiness_9,School_Readiness_10,School_Readiness_11,School_Readiness_12,School_Readiness_13,School_Readiness_14,School_Readiness_15,School_Readiness_16,School_Readiness_17,School_Readiness_18,School_Readiness_19,School_Readiness_20,School_Readiness_21,School_Readiness_22,Self_Regulation_1,Self_Regulation_2,Self_Regulation_3,Self_Regulation_4,Self_Regulation_5,Self_Regulation_6,Self_Regulation_7
104016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104024,300,2,3,3,3,2,2,2,2,1,1,4,3,4,3,4,4,4,4,3,2,3,2,3,2,3,3,4,4,3,4,4,4,2,2,2,3,2,2,3
104025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104028,800,1,2,2,2,2,2,2,2,2,2,3,2,4,2,3,3,2,3,2,2,3,3,2,2,2,2,3,3,2,4,4,3,1,1,1,2,2,1,2
104029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104031,550,1,3,2,4,2,1,2,2,1,2,4,3,4,3,3,3,3,4,4,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,2,2,2,3,3
104032,350,2,3,3,2,2,2,2,2,3,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,3,3,2,3
104033,320,2,1,2,2,2,3,2,1,2,2,4,3,4,4,4,4,4,4,3,3,4,4,4,3,4,4,4,4,4,4,4,4,3,3,2,2,2,2,3
104034,300,2,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,2,3,3,4,4,3,4,4,4,4,4,4,4,2,2,2,2,2,2,2
104035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104036,500,2,4,4,3,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3
104037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104039,480,2,2,2,2,4,4,3,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,2,1,2,1,2,2
104040,400,1,3,3,4,4,3,3,3,4,3,3,4,4,2,3,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,2,2,3,3,3,1,1
104041,500,2,4,3,2,3,3,3,2,2,2,4,3,3,3,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,2,2,2,2,3
104042,500,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,3,3,4,4,4,4,4,3,2,2,2,3,2,2
104043,500,2,4,2,3,2,3,2,2,2,2,4,3,3,3,4,4,4,4,4,2,4,2,4,3,3,4,4,4,4,4,4,3,3,2,2,3,3,3,3
104044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104045,500,2,3,3,2,1,2,2,2,1,2,4,3,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,2,2,2,2,2,2,2
104046,750,1,4,4,3,2,2,3,2,2,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,3,3,3,3
104047,400,2,2,2,2,2,3,3,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,3,3,3,3
104048,400,2,2,2,3,2,2,3,2,1,1,4,3,3,3,3,2,4,4,4,3,4,3,3,3,3,4,3,4,4,4,4,3,3,2,2,1,2,2,3
